,frame
582,LEVEL01PLAYER221102BULLET121201ENEMY_WEAK-1-100-1-100090902ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001104BOMB151502
583,LEVEL01PLAYER221202BULLET121201ENEMY_WEAK-1-100-1-100090902ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001104BOMB151502
584,LEVEL01PLAYER221202BULLET111201ENEMY_WEAK-1-100-1-100090902ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001104BOMB151502
585,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100090901ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001104BOMB151502
586,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100090901ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001104BOMB161502
587,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100090901ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001104BOMB161502
588,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100090901ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001104BOMB171502
589,LEVEL01PLAYER221002BULLET-1-101ENEMY_WEAK-1-100-1-100090901ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001104BOMB171502
590,LEVEL01PLAYER221002BULLET-1-101ENEMY_WEAK-1-100-1-100090901ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001204BOMB181502
591,LEVEL01PLAYER221002BULLET-1-101ENEMY_WEAK-1-100-1-100090901ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001204BOMB191502
592,LEVEL01PLAYER220902BULLET-1-101ENEMY_WEAK-1-100-1-100090901ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001204BOMB191502
593,LEVEL01PLAYER220902BULLET-1-101ENEMY_WEAK-1-100-1-100090901ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001204BOMB201502
594,LEVEL01PLAYER220902BULLET-1-101ENEMY_WEAK-1-100-1-100090901ENEMY_STRONG-1-100-1-100060904ENEMY_UFO001304BOMB201502
595,LEVEL01PLAYER220902BULLET-1-101ENEMY_WEAK-1-100-1-100090801ENEMY_STRONG-1-100-1-100060804ENEMY_UFO001304BOMB201502
596,LEVEL01PLAYER220902BULLET-1-101ENEMY_WEAK-1-100-1-100090801ENEMY_STRONG-1-100-1-100060804ENEMY_UFO001304BOMB211502
597,LEVEL01PLAYER221002BULLET-1-101ENEMY_WEAK-1-100-1-100090801ENEMY_STRONG-1-100-1-100060804ENEMY_UFO001304BOMB221502
598,LEVEL01PLAYER221002BULLET-1-101ENEMY_WEAK-1-100-1-100090801ENEMY_STRONG-1-100-1-100060804ENEMY_UFO001404BOMB221502
599,LEVEL01PLAYER221002BULLET-1-101ENEMY_WEAK-1-100-1-100090801ENEMY_STRONG-1-100-1-100060804ENEMY_UFO001404BOMB-1-102
600,LEVEL01PLAYER221002BULLET-1-101ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
601,LEVEL01PLAYER221002BULLET211201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
602,LEVEL01PLAYER221002BULLET201201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
603,LEVEL01PLAYER221002BULLET191201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
604,LEVEL01PLAYER220902BULLET191201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
605,LEVEL01PLAYER220902BULLET181201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
606,LEVEL01PLAYER221002BULLET171201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
607,LEVEL01PLAYER221002BULLET161201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
608,LEVEL01PLAYER221102BULLET161201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
609,LEVEL01PLAYER221102BULLET151201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
610,LEVEL01PLAYER221102BULLET141201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB-1-102
611,LEVEL01PLAYER221102BULLET141201ENEMY_WEAK-1-100-1-100090701ENEMY_STRONG-1-100-1-100060704ENEMY_UFO001404BOMB031702
612,LEVEL01PLAYER221102BULLET141201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001404BOMB031702
613,LEVEL01PLAYER221102BULLET131201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001404BOMB031702
614,LEVEL01PLAYER221102BULLET131201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001404BOMB041702
615,LEVEL01PLAYER221102BULLET121201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001404BOMB041702
616,LEVEL01PLAYER221102BULLET111201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001404BOMB051702
617,LEVEL01PLAYER221102BULLET111201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001504BOMB051702
618,LEVEL01PLAYER221102BULLET101201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001504BOMB051702
619,LEVEL01PLAYER221002BULLET101201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001504BOMB061702
620,LEVEL01PLAYER221002BULLET091201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001504BOMB061702
621,LEVEL01PLAYER221002BULLET091201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001504BOMB071702
622,LEVEL01PLAYER221002BULLET081201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001504BOMB071702
623,LEVEL01PLAYER220902BULLET081201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001504BOMB071702
624,LEVEL01PLAYER220902BULLET071201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001504BOMB081702
625,LEVEL01PLAYER220902BULLET061201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001504BOMB081702
626,LEVEL01PLAYER220902BULLET061201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001504BOMB091702
627,LEVEL01PLAYER220902BULLET051201ENEMY_WEAK-1-100-1-100090601ENEMY_STRONG-1-100-1-100060604ENEMY_UFO001404BOMB091702
628,LEVEL01PLAYER220902BULLET051201ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO001404BOMB091702
629,LEVEL01PLAYER220902BULLET051201ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO-1-104BOMB101702
630,LEVEL01PLAYER221002BULLET051201ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO-1-104BOMB101702
631,LEVEL01PLAYER221002BULLET041201ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO-1-104BOMB101702
632,LEVEL01PLAYER221002BULLET031201ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO-1-104BOMB111702
633,LEVEL01PLAYER221002BULLET021201ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO-1-104BOMB111702
634,LEVEL01PLAYER221002BULLET021201ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO-1-104BOMB121702
635,LEVEL01PLAYER221002BULLET021201ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO000004BOMB121702
636,LEVEL01PLAYER221002BULLET011201ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO000004BOMB121702
637,LEVEL01PLAYER221002BULLET011201ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO000004BOMB131702
638,LEVEL01PLAYER221002BULLET-1-101ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO000004BOMB131702
639,LEVEL01PLAYER221002BULLET-1-101ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO000004BOMB141702
640,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO000004BOMB141702
641,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO000104BOMB141702
642,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO000104BOMB151702
643,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO000104BOMB151702
644,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100090501ENEMY_STRONG-1-100-1-100060504ENEMY_UFO000104BOMB161702
645,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000104BOMB161702
646,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000004BOMB161702
647,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000004BOMB171702
648,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000004BOMB181702
649,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000004BOMB191702
650,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000004BOMB191702
651,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000004BOMB201702
652,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000104BOMB201702
653,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000104BOMB211702
654,LEVEL01PLAYER221102BULLET211301ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000104BOMB211702
655,LEVEL01PLAYER221102BULLET201301ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000104BOMB211702
656,LEVEL01PLAYER221102BULLET201301ENEMY_WEAK-1-100-1-100090401ENEMY_STRONG-1-100-1-100060404ENEMY_UFO000104BOMB221702
657,LEVEL01PLAYER221102BULLET191301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000104BOMB221702
658,LEVEL01PLAYER221102BULLET191301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB-1-102
659,LEVEL01PLAYER221102BULLET181301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB-1-102
660,LEVEL01PLAYER221102BULLET171301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB-1-102
661,LEVEL01PLAYER221102BULLET161301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB-1-102
662,LEVEL01PLAYER221202BULLET161301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB-1-102
663,LEVEL01PLAYER221202BULLET151301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB-1-102
664,LEVEL01PLAYER221202BULLET141301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB-1-102
665,LEVEL01PLAYER221202BULLET131301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB-1-102
666,LEVEL01PLAYER221202BULLET131301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB030302
667,LEVEL01PLAYER221202BULLET121301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB030302
668,LEVEL01PLAYER221202BULLET121301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB040302
669,LEVEL01PLAYER221202BULLET111301ENEMY_WEAK-1-100-1-100090301ENEMY_STRONG-1-100-1-100060304ENEMY_UFO000004BOMB040302
670,LEVEL01PLAYER221202BULLET111301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB040302
671,LEVEL01PLAYER221202BULLET111301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB050302
672,LEVEL01PLAYER221202BULLET101301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB050302
673,LEVEL01PLAYER221102BULLET101301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB050302
674,LEVEL01PLAYER221102BULLET091301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB050302
675,LEVEL01PLAYER221102BULLET091301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB060302
676,LEVEL01PLAYER221202BULLET081301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB060302
677,LEVEL01PLAYER221202BULLET081301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB070302
678,LEVEL01PLAYER221202BULLET071301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB070302
679,LEVEL01PLAYER221202BULLET071301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB080302
680,LEVEL01PLAYER221202BULLET061301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB080302
681,LEVEL01PLAYER221202BULLET051301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB080302
682,LEVEL01PLAYER221202BULLET051301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB090302
683,LEVEL01PLAYER221302BULLET051301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB090302
684,LEVEL01PLAYER221302BULLET041301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB090302
685,LEVEL01PLAYER221302BULLET041301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB100302
686,LEVEL01PLAYER221302BULLET031301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB100302
687,LEVEL01PLAYER221302BULLET031301ENEMY_WEAK-1-100-1-100090201ENEMY_STRONG-1-100-1-100060204ENEMY_UFO000004BOMB110302
688,LEVEL01PLAYER221302BULLET021301ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000004BOMB110302
689,LEVEL01PLAYER221302BULLET021301ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000104BOMB110302
690,LEVEL01PLAYER221302BULLET011301ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000104BOMB110302
691,LEVEL01PLAYER221302BULLET011301ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000104BOMB120302
692,LEVEL01PLAYER221302BULLET-1-101ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000104BOMB120302
693,LEVEL01PLAYER221302BULLET-1-101ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000104BOMB130302
694,LEVEL01PLAYER221302BULLET-1-101ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000104BOMB140302
695,LEVEL01PLAYER221302BULLET211501ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000104BOMB140302
696,LEVEL01PLAYER221302BULLET211501ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000104BOMB150302
697,LEVEL01PLAYER221302BULLET201501ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000104BOMB150302
698,LEVEL01PLAYER221302BULLET201501ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000204BOMB150302
699,LEVEL01PLAYER221302BULLET201501ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000204BOMB160302
700,LEVEL01PLAYER221302BULLET191501ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000204BOMB160302
701,LEVEL01PLAYER221302BULLET181501ENEMY_WEAK-1-100-1-100090101ENEMY_STRONG-1-100-1-100060104ENEMY_UFO000204BOMB170302
702,LEVEL01PLAYER221302BULLET181501ENEMY_WEAK-1-100-1-100090001ENEMY_STRONG-1-100-1-100060004ENEMY_UFO000204BOMB170302
703,LEVEL01PLAYER221402BULLET181501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000204BOMB170302
704,LEVEL01PLAYER221402BULLET171501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000204BOMB170302
705,LEVEL01PLAYER221402BULLET171501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000104BOMB180302
706,LEVEL01PLAYER221402BULLET161501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000104BOMB180302
707,LEVEL01PLAYER221502BULLET161501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000104BOMB190302
708,LEVEL01PLAYER221502BULLET151501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000104BOMB190302
709,LEVEL01PLAYER221502BULLET141501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000104BOMB200302
710,LEVEL01PLAYER221502BULLET141501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000004BOMB200302
711,LEVEL01PLAYER221502BULLET131501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000004BOMB200302
712,LEVEL01PLAYER221502BULLET131501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000004BOMB210302
713,LEVEL01PLAYER221502BULLET121501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000004BOMB210302
714,LEVEL01PLAYER221402BULLET121501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000004BOMB210302
715,LEVEL01PLAYER221402BULLET121501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000004BOMB220302
716,LEVEL01PLAYER221402BULLET111501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000004BOMB220302
717,LEVEL01PLAYER221402BULLET101501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000004BOMB-1-102
718,LEVEL01PLAYER221502BULLET101501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000004BOMB-1-102
719,LEVEL01PLAYER221502BULLET091501ENEMY_WEAK-1-100-1-100100101ENEMY_STRONG-1-100-1-100070104ENEMY_UFO000004BOMB-1-102
720,LEVEL01PLAYER221502BULLET091501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO000004BOMB-1-102
721,LEVEL01PLAYER221502BULLET081501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO000004BOMB-1-102
722,LEVEL01PLAYER221502BULLET071501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO000004BOMB-1-102
723,LEVEL01PLAYER221502BULLET071501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO-1-104BOMB-1-102
724,LEVEL01PLAYER221502BULLET061501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO-1-104BOMB-1-102
725,LEVEL01PLAYER221502BULLET061501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO001104BOMB-1-102
726,LEVEL01PLAYER221502BULLET051501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO001104BOMB-1-102
727,LEVEL01PLAYER221402BULLET051501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO001104BOMB-1-102
728,LEVEL01PLAYER221402BULLET041501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO001104BOMB-1-102
729,LEVEL01PLAYER221402BULLET031501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO001104BOMB-1-102
730,LEVEL01PLAYER221302BULLET031501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO001004BOMB-1-102
731,LEVEL01PLAYER221302BULLET021501ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO001004BOMB-1-102
732,LEVEL01PLAYER221302BULLET-1-101ENEMY_WEAK-1-100-1-100100201ENEMY_STRONG-1-100-1-100070204ENEMY_UFO001003BOMB-1-102
733,LEVEL01PLAYER221302BULLET-1-101ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001003BOMB-1-102
734,LEVEL01PLAYER221302BULLET-1-101ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001003BOMB031302
735,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001003BOMB031302
736,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001003BOMB041302
737,LEVEL01PLAYER221202BULLET-1-101ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001003BOMB051302
738,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001003BOMB051302
739,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001103BOMB051302
740,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001103BOMB061302
741,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001103BOMB071302
742,LEVEL01PLAYER221102BULLET-1-101ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001203BOMB071302
743,LEVEL01PLAYER221102BULLET211301ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001203BOMB071302
744,LEVEL01PLAYER221102BULLET211301ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001203BOMB081302
745,LEVEL01PLAYER221102BULLET201301ENEMY_WEAK-1-100-1-100100301ENEMY_STRONG-1-100-1-100070304ENEMY_UFO001203BOMB081302
746,LEVEL01PLAYER221102BULLET201301ENEMY_WEAK-1-100-1-100100401ENEMY_STRONG-1-100-1-100070404ENEMY_UFO001203BOMB091302
747,LEVEL01PLAYER221102BULLET191301ENEMY_WEAK-1-100-1-100100401ENEMY_STRONG-1-100-1-100070404ENEMY_UFO001203BOMB091302
748,LEVEL01PLAYER221202BULLET191301ENEMY_WEAK-1-100-1-100100401ENEMY_STRONG-1-100-1-100070404ENEMY_UFO001203BOMB091302
749,LEVEL01PLAYER221202BULLET191301ENEMY_WEAK-1-100-1-100100401ENEMY_STRONG-1-100-1-100070404ENEMY_UFO001103BOMB091302
750,LEVEL01PLAYER221202BULLET181301ENEMY_WEAK-1-100-1-100100401ENEMY_STRONG-1-100-1-100070404ENEMY_UFO001103BOMB091302
751,LEVEL01PLAYER221202BULLET181301ENEMY_WEAK-1-100-1-100100401ENEMY_STRONG-1-100-1-100070404ENEMY_UFO001103BOMB101302
752,LEVEL01PLAYER221102BULLET171301ENEMY_WEAK-1-100-1-100100401ENEMY_STRONG-1-100-1-100070404ENEMY_UFO001103BOMB101302
753,LEVEL01PLAYER221102BULLET171301ENEMY_WEAK-1-100-1-100100401ENEMY_STRONG-1-100-1-100070404ENEMY_UFO001103BOMB111302
754,LEVEL01PLAYER221102BULLET161301ENEMY_WEAK-1-100-1-100100401ENEMY_STRONG-1-100-1-100070404ENEMY_UFO001103BOMB111302
755,LEVEL01PLAYER221102BULLET161301ENEMY_WEAK-1-100-1-100100401ENEMY_STRONG-1-100-1-100070404ENEMY_UFO001203BOMB111302
